Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-04-27 17:53:13,false,"Sydney Running","4.01","527","00:32:20","150","174","3.5","165","185","8:03","6:11","190","262","1.21","0.0","0.0","0.0","0.0","0.0","32:20","0:00","69.8","0:00","No","00:07.33","5","0.0"
Running,2020-04-26 15:55:14,false,"Sydney Running","2.88","365","00:24:52","139","160","2.8","162","185","8:38","6:11","171","197","1.15","0.0","0.0","0.0","0.0","0.0","24:52","0:00","77.0","0:00","No","06:45.91","3","0.0"
Running,2020-04-24 18:05:56,false,"Sydney Running","4.21","556","00:33:34","153","169","3.5","164","181","7:59","6:42","223","266","1.23","0.0","0.0","0.0","0.0","0.0","33:34","0:00","69.8","0:00","No","01:37.04","5","0.0"
Running,2020-04-23 19:04:29,false,"Sydney Running","3.01","394","00:25:24","144","162","3.0","162","175","8:27","1:53","187","187","1.17","0.0","0.0","0.0","0.0","0.0","25:24","0:00","71.6","0:00","No","00:05.59","4","0.0"
Running,2020-04-21 17:09:46,false,"Sydney Running","3.04","392","00:23:55","151","177","3.2","165","181","7:52","6:41","174","190","1.24","0.0","0.0","0.0","0.0","0.0","23:55","0:00","71.6","0:00","No","00:18.94","4","0.0"
Running,2020-04-18 13:21:24,false,"Sydney Running","3.36","487","00:30:32","151","184","3.5","162","225","9:06","7:03","387","305","1.09","0.0","0.0","0.0","0.0","0.0","30:32","0:00","73.4","0:00","No","02:49.73","4","0.0"
Running,2020-04-16 18:04:12,false,"Sydney Running","2.36","297","00:18:17","150","166","2.9","166","183","7:44","6:17","148","144","1.26","0.0","0.0","0.0","0.0","0.0","18:17","0:00","75.2","0:00","No","02:28.24","3","0.0"
Running,2020-04-15 16:57:33,false,"Sydney Running","3.01","383","00:23:30","151","170","3.2","167","183","7:49","6:21","171","197","1.23","0.0","0.0","0.0","0.0","0.0","23:30","0:00","73.4","0:00","No","00:04.44","4","0.0"
Running,2020-04-14 18:06:36,false,"Sydney Running","4.43","571","00:34:45","154","170","3.7","167","187","7:50","5:29","210","312","1.22","0.0","0.0","0.0","0.0","0.0","34:45","0:00","68.0","0:00","No","04:08.69","5","0.0"
Running,2020-04-11 16:08:32,false,"Sydney Running","3.92","496","00:31:01","151","167","3.4","163","185","7:54","6:30","256","308","1.25","0.0","0.0","0.0","0.0","0.0","31:01","0:00","71.6","0:00","No","07:10.64","4","0.0"
Running,2020-04-09 17:35:04,false,"Sydney Running","3.01","395","00:25:07","152","166","3.1","164","182","8:21","6:52","174","200","1.18","0.0","0.0","0.0","0.0","0.0","25:07","0:00","69.8","0:00","No","00:03.33","4","0.0"
Running,2020-04-06 17:38:29,false,"Sydney Running","4.01","489","00:29:23","157","176","3.7","170","190","7:20","5:24","203","253","1.29","0.0","0.0","0.0","0.0","0.0","29:23","0:00","68.0","0:00","No","00:03.51","5","0.0"
Running,2020-04-05 18:06:47,false,"Sydney Running","3.01","420","00:26:46","149","169","3.3","164","225","8:54","7:13","210","180","1.10","0.0","0.0","0.0","0.0","0.0","26:46","0:00","69.8","0:00","No","00:03.32","4","0.0"
Running,2020-04-04 18:50:18,false,"Sydney Running","4.01","547","00:32:58","156","186","3.7","169","185","8:14","6:59","207","282","1.16","0.0","0.0","0.0","0.0","0.0","32:58","0:00","69.8","0:00","No","00:04.05","5","0.0"
Running,2020-03-31 18:33:13,false,"Sydney Running","4.00","552","00:33:11","157","176","3.9","166","175","8:17","7:10","207","262","1.17","0.0","0.0","0.0","0.0","0.0","33:11","0:00","73.4","0:00","No","00:03.26","5","0.0"
Running,2020-03-30 18:03:06,false,"Sydney Running","3.01","373","00:24:56","143","167","3.1","165","177","8:17","7:12","161","210","1.18","0.0","0.0","0.0","0.0","0.0","24:56","0:00","77.0","0:00","No","00:04.11","4","0.0"
Running,2020-03-29 19:07:21,false,"Sydney Running","2.26","283","00:18:01","151","169","3.0","166","181","8:00","7:09","131","144","1.21","0.0","0.0","0.0","0.0","0.0","18:01","0:00","73.4","0:00","No","02:02.42","3","0.0"
Running,2020-03-28 15:09:22,false,"Sydney Running","4.01","513","00:31:45","154","168","3.8","168","181","7:56","6:48","213","253","1.21","0.0","0.0","0.0","0.0","0.0","31:45","0:00","77.0","0:00","No","00:03.91","5","0.0"
Running,2020-03-26 19:03:45,false,"Sydney Running","4.02","504","00:30:33","157","181","4.0","170","193","7:36","5:42","240","272","1.24","0.0","0.0","0.0","0.0","0.0","30:33","0:00","69.8","0:00","No","00:08.50","5","0.0"
Running,2020-03-24 18:45:12,false,"Sydney Running","2.38","297","00:18:59","150","174","3.2","168","179","7:59","6:46","157","161","1.20","0.0","0.0","0.0","0.0","0.0","18:59","0:00","71.6","0:00","No","02:56.54","3","0.0"
Running,2020-03-23 17:53:17,false,"Sydney Running","3.60","470","00:28:59","155","169","3.8","167","200","8:03","6:12","200","243","1.20","0.0","0.0","0.0","0.0","0.0","28:59","0:00","69.8","0:00","No","04:50.57","4","0.0"
Running,2020-03-22 17:36:37,false,"Sydney Running","4.31","561","00:35:46","152","168","3.8","166","185","8:18","7:03","233","272","1.17","0.0","0.0","0.0","0.0","0.0","35:46","0:00","75.2","0:00","No","02:52.37","5","0.0"
Running,2020-03-15 18:36:50,false,"Sydney Running","2.38","317","00:19:31","155","182","3.4","166","183","8:13","6:48","141","174","1.18","0.0","0.0","0.0","0.0","0.0","19:31","0:00","68.0","0:00","No","03:02.70","3","0.0"
Running,2020-03-11 18:26:18,false,"Sydney Running","4.09","550","00:33:29","158","171","4.0","166","181","8:11","6:48","226","256","1.18","0.0","0.0","0.0","0.0","0.0","33:29","0:00","71.6","0:00","No","00:53.73","5","0.0"
Running,2020-03-08 17:48:07,false,"Sydney Running","2.82","336","00:21:16","150","168","3.3","167","195","7:32","5:44","128","190","1.28","0.0","0.0","0.0","0.0","0.0","21:16","0:00","71.6","0:00","No","06:12.32","3","0.0"
Running,2020-03-04 18:41:53,false,"Sydney Running","1.00","117","00:08:24.7","136","148","2.0","160","175","8:24","7:37","39","62","1.19","0.0","0.0","0.0","0.0","0.0","8:24.7","0:00","77.0","0:00","No","00:00.46","2","0.0"
Running,2020-02-29 15:55:38,false,"Sydney Running","2.80","347","00:22:17","150","170","3.4","166","213","7:58","6:38","135","187","1.22","0.0","0.0","0.0","0.0","0.0","22:17","0:00","80.6","0:00","No","06:13.66","3","0.0"
Running,2020-02-25 18:51:46,false,"Sydney Running","2.78","335","00:21:51","150","171","3.4","164","187","7:51","6:19","128","197","1.25","0.0","0.0","0.0","0.0","0.0","21:51","0:00","78.8","0:00","No","06:22.06","3","0.0"
Running,2020-02-23 17:55:25,false,"Sydney Running","2.91","334","00:22:29","144","169","3.4","163","185","7:43","6:02","157","187","1.28","0.0","0.0","0.0","0.0","0.0","22:29","0:00","75.2","0:00","No","07:18.02","3","0.0"
Running,2020-02-17 19:11:52,false,"Sydney Running","4.02","490","00:33:06","147","165","3.8","165","177","8:14","7:14","207","253","1.18","0.0","0.0","0.0","0.0","0.0","33:06","0:00","77.0","0:00","No","00:09.81","5","0.0"
Running,2020-02-15 18:44:03,false,"Sydney Running","2.26","279","00:20:38","138","166","2.9","159","179","9:08","7:21","125","141","1.11","0.0","0.0","0.0","0.0","0.0","20:38","0:00","77.0","0:00","No","02:12.13","3","0.0"
Running,2020-02-12 18:41:54,false,"Sydney Running","4.01","521","00:32:52","155","175","4.3","167","193","8:12","5:57","220","259","1.18","0.0","0.0","0.0","0.0","0.0","32:52","0:00","77.0","0:00","No","00:04.29","5","0.0"
Elliptical,2020-02-11 19:14:49,false,"Elliptical","0.00","36","00:05:01.1","99","110","0.2","111","149","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","5:01.1","0:00","78.8","0:00","No","00:00.00","1","0.0"
Running,2020-02-10 18:29:52,false,"Sydney Running","3.92","499","00:33:24","147","168","3.9","164","181","8:31","7:00","236","259","1.15","0.0","0.0","0.0","0.0","0.0","33:24","0:00","78.8","0:00","No","07:51.48","4","0.0"
Running,2020-02-06 18:10:38,false,"Sydney Running","4.01","508","00:36:17","142","159","3.5","161","177","9:03","7:40","220","259","1.11","0.0","0.0","0.0","0.0","0.0","36:17","0:00","73.4","0:00","No","00:03.70","5","0.0"
Treadmill Running,2020-02-05 18:02:57,false,"Treadmill Running","1.27","165","00:13:01","130","141","2.2","138","167","10:14","8:04","--","--","1.13","0.0","0.0","0.0","0.0","0.0","13:01","0:00","77.0","0:00","No","04:21.95","2","0.0"
Treadmill Running,2020-02-04 16:35:50,false,"Treadmill Running","0.63","65","00:05:10.2","128","137","1.2","162","168","8:12","7:30","--","--","1.21","0.0","0.0","0.0","0.0","0.0","5:10.2","0:00","75.2","0:00","No","00:00.00","1","0.0"
Treadmill Running,2020-02-03 18:01:11,false,"Treadmill Running","1.27","148","00:10:54","135","147","2.3","164","169","8:34","7:37","--","--","1.15","0.0","0.0","0.0","0.0","0.0","10:54","0:00","75.2","0:00","No","02:18.93","2","0.0"
Running,2020-02-01 14:37:52,false,"Sydney Running","2.64","359","00:23:11","152","171","3.7","160","178","8:47","6:59","118","174","1.15","0.0","0.0","0.0","0.0","0.0","23:11","0:00","91.4","0:00","No","05:20.04","3","0.0"
Running,2020-01-23 06:36:29,false,"Running","0.49","71","00:04:23.3","159","173","2.1","166","183","8:56","8:11","--","39","1.08","0.0","0.0","0.0","0.0","0.0","4:23.3","0:00","78.8","0:00","No","00:00.00","1","0.0"
Running,2020-01-16 07:18:28,false,"Running","1.16","177","00:11:19","156","172","3.0","145","179","9:47","8:23","52","75","1.15","0.0","0.0","0.0","0.0","0.0","11:19","0:00","75.2","0:00","No","02:15.99","2","0.0"
Running,2020-01-12 15:05:31,false,"Sydney Running","2.13","281","00:18:25","151","169","3.3","164","176","8:40","7:46","125","141","1.13","0.0","0.0","0.0","0.0","0.0","18:25","0:00","68.0","0:00","No","01:00.34","3","0.0"
Cycling,2019-12-29 16:34:02,false,"Sydney Cycling","3.36","183","00:23:32","106","134","0.8","--","--","8.6","23.1","174","187","0.00","0.0","0.0","0.0","0.0","0.0","23:32","0:00","80.6","0:00","No","00:00.00","1","0.0"
Cycling,2019-12-28 19:08:14,false,"Sydney Cycling","3.48","223","00:26:36","111","134","1.2","--","--","7.9","23.5","187","180","0.00","0.0","0.0","0.0","0.0","0.0","26:36","0:00","77.0","0:00","No","00:00.00","1","0.0"
Running,2019-12-28 18:18:29,false,"Sydney Running","2.50","289","00:20:46","139","155","3.1","162","183","8:18","6:42","102","167","1.20","0.0","0.0","0.0","0.0","0.0","20:46","0:00","75.2","0:00","No","03:53.70","3","0.0"
Treadmill Running,2019-12-15 15:32:23,false,"Treadmill Running","1.26","156","00:10:35","143","155","2.6","163","169","8:23","7:20","--","--","1.18","0.0","0.0","0.0","0.0","0.0","10:35","0:00","75.2","0:00","No","02:17.25","2","0.0"
Running,2019-11-28 18:31:09,false,"Darwin Running","3.01","375","00:25:54","145","173","3.5","160","177","8:36","7:01","69","82","1.17","0.0","0.0","0.0","0.0","0.0","25:54","0:00","87.8","0:00","No","00:06.07","4","0.0"
Running,2019-11-24 18:51:37,false,"Darwin Running","3.13","414","00:27:31","149","168","3.6","155","196","8:47","7:23","75","89","1.18","0.0","0.0","0.0","0.0","0.0","27:31","0:00","82.4","0:00","No","01:00.65","4","0.0"
Running,2019-11-16 17:29:49,false,"Sydney Running","2.00","253","00:17:28","144","165","3.1","161","177","8:44","7:47","46","16","1.15","0.0","0.0","0.0","0.0","0.0","17:28","0:00","71.6","0:00","No","00:01.30","3","0.0"
Elliptical,2019-11-14 18:30:33,false,"Elliptical","0.00","53","00:10:32","86","131","0.2","70","98","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","10:32","0:00","75.2","0:00","No","00:00.00","1","0.0"
Treadmill Running,2019-11-13 18:02:55,false,"Treadmill Running","1.39","134","00:10:24","131","148","2.0","167","173","7:30","7:06","--","--","1.29","0.0","0.0","0.0","0.0","0.0","10:24","0:00","73.4","0:00","No","02:56.23","2","0.0"
Running,2019-11-12 17:34:02,false,"Sydney Running","3.07","394","00:26:20","149","169","3.2","163","180","8:34","7:17","82","66","1.15","0.0","0.0","0.0","0.0","0.0","26:20","0:00","86.0","0:00","No","00:31.52","4","0.0"
Running,2019-11-10 18:57:37,false,"Sydney Running","1.32","165","00:10:46","150","162","2.7","164","173","8:11","7:39","33","43","1.20","0.0","0.0","0.0","0.0","0.0","10:46","0:00","68.0","0:00","No","02:35.52","2","0.0"
Running,2019-11-02 16:36:45,false,"Sydney Running","3.10","384","00:25:49","148","161","3.3","161","189","8:20","6:09","75","66","1.20","0.0","0.0","0.0","0.0","0.0","25:49","0:00","75.2","0:00","No","00:39.36","4","0.0"
Running,2019-10-31 06:27:47,false,"Sydney Running","0.46","50","00:03:53.4","131","146","1.1","157","170","8:32","7:16","10","16","1.20","0.0","0.0","0.0","0.0","0.0","3:53.4","0:00","77.0","0:00","No","00:00.00","1","0.0"
Treadmill Running,2019-10-29 19:02:16,false,"Treadmill Running","0.59","64","00:05:04.8","130","148","1.1","159","170","8:40","7:37","--","--","1.17","0.0","0.0","0.0","0.0","0.0","5:04.8","0:00","75.2","0:00","No","00:00.00","1","0.0"
Running,2019-10-28 18:57:27,false,"Sydney Running","4.69","610","00:39:49","153","177","4.0","164","182","8:30","6:36","89","92","1.15","0.0","0.0","0.0","0.0","0.0","39:49","0:00","66.2","0:00","No","05:27.34","5","0.0"
Running,2019-10-26 17:11:34,false,"Sydney Running","0.37","45","00:03:05.5","150","163","1.1","162","173","8:19","7:50","10","10","1.19","0.0","0.0","0.0","0.0","0.0","3:05.5","0:00","78.8","0:00","No","00:00.00","1","0.0"
Running,2019-10-26 16:31:35,false,"Sydney Running","1.37","166","00:11:48","143","164","2.4","162","173","8:37","6:55","69","56","1.15","0.0","0.0","0.0","0.0","0.0","11:48","0:00","86.0","0:00","No","02:35.21","2","0.0"
Treadmill Running,2019-10-25 21:42:35,false,"Treadmill Running","0.80","86","00:06:01.0","142","155","2.0","163","171","7:30","6:57","--","--","1.32","0.0","0.0","0.0","0.0","0.0","6:01.0","0:00","77.0","0:00","No","00:00.00","1","0.0"
Treadmill Running,2019-10-24 21:20:57,false,"Treadmill Running","0.77","78","00:05:46.5","136","153","1.7","164","172","7:33","6:59","--","--","1.30","0.0","0.0","0.0","0.0","0.0","5:46.5","0:00","78.8","0:00","No","00:00.00","1","0.0"
Treadmill Running,2019-10-23 20:37:36,false,"Treadmill Running","1.11","197","00:21:18","120","154","2.2","69","173","19:11","6:54","--","--","0.90","0.0","0.0","0.0","0.0","0.0","21:18","0:00","75.2","0:00","No","07:16.64","2","0.0"
Running,2019-10-21 18:10:23,false,"Sydney Running","4.13","542","00:35:08","153","190","4.1","164","179","8:30","6:51","164","161","1.15","0.0","0.0","0.0","0.0","0.0","35:08","0:00","68.0","0:00","No","01:04.51","5","0.0"
Treadmill Running,2019-10-19 20:07:34,false,"Treadmill Running","0.97","120","00:08:22.7","141","149","2.2","165","173","8:39","7:41","--","--","1.13","0.0","0.0","0.0","0.0","0.0","8:22.7","0:00","75.2","0:00","No","00:00.00","1","0.0"
Treadmill Running,2019-10-18 18:14:16,false,"Treadmill Running","1.78","237","00:14:46","158","169","3.1","169","177","8:18","7:35","--","--","1.15","0.0","0.0","0.0","0.0","0.0","14:46","0:00","71.6","0:00","No","06:17.22","2","0.0"
Running,2019-10-18 18:00:08,false,"Sydney Running","1.21","176","00:12:15","142","160","2.5","162","171","10:05","7:47","121","115","0.98","0.0","0.0","0.0","0.0","0.0","12:15","0:00","71.6","0:00","No","01:58.43","2","0.0"
Treadmill Running,2019-10-17 18:09:28,false,"Treadmill Running","1.87","271","00:17:29","152","167","3.3","164","177","9:21","7:34","--","--","1.05","0.0","0.0","0.0","0.0","0.0","17:29","0:00","73.4","0:00","No","07:26.67","2","0.0"
Treadmill Running,2019-10-16 18:40:43,false,"Treadmill Running","1.83","260","00:17:11","149","177","3.2","165","175","9:24","7:41","--","--","1.04","0.0","0.0","0.0","0.0","0.0","17:11","0:00","75.2","0:00","No","07:11.66","2","0.0"
Treadmill Running,2019-10-15 18:51:06,false,"Treadmill Running","1.83","256","00:17:51","142","162","3.1","159","177","9:46","7:36","--","--","1.04","0.0","0.0","0.0","0.0","0.0","17:51","0:00","75.2","0:00","No","07:42.77","2","0.0"
Treadmill Running,2019-10-11 18:38:04,false,"Treadmill Running","0.92","153","00:11:04","140","154","2.4","133","168","11:59","8:10","--","--","1.01","0.0","0.0","0.0","0.0","0.0","11:04","0:00","75.2","0:00","No","00:00.00","1","0.0"
Running,2019-10-08 18:22:44,false,"Sydney Running","3.52","485","00:31:11","155","174","4.0","164","216","8:52","7:12","240","233","1.11","0.0","0.0","0.0","0.0","0.0","31:11","0:00","60.8","0:00","No","04:42.94","4","0.0"
Running,2019-10-07 15:59:28,false,"Sydney Running","4.09","586","00:38:12","154","183","4.6","160","195","9:21","5:10","223","164","1.08","0.0","0.0","0.0","0.0","0.0","38:12","0:00","71.6","0:00","No","00:49.12","5","0.0"
Running,2019-09-26 21:37:48,false,"Running","0.25","27","00:02:19.4","124","137","0.5","151","165","9:25","8:54","--","10","1.13","0.0","0.0","0.0","0.0","0.0","2:19.4","0:00","78.8","0:00","No","00:00.00","1","0.0"
Running,2019-09-26 21:27:37,false,"Running","0.43","51","00:04:06.5","129","140","1.1","154","165","9:29","8:54","--","39","1.10","0.0","0.0","0.0","0.0","0.0","4:06.5","0:00","82.4","0:00","No","00:00.00","1","0.0"
Running,2019-09-26 11:07:36,false,"Santiago Running","0.73","91","00:06:12.2","145","165","2.1","156","176","8:32","8:24","46","39","1.21","0.0","0.0","0.0","0.0","0.0","6:12.2","0:00","96.8","0:00","No","00:00.00","1","0.0"
Elliptical,2019-09-26 09:32:00,false,"Elliptical","0.00","13","00:05:05.7","70","82","0.0","108","137","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","5:05.7","0:00","80.6","0:00","No","00:00.00","1","0.0"
Running,2019-09-26 07:42:40,false,"Santiago Running","0.27","29","00:02:26.6","130","143","1.0","157","175","9:08","8:24","10","23","1.13","0.0","0.0","0.0","0.0","0.0","2:26.6","0:00","77.0","0:00","No","00:00.00","1","0.0"
Running,2019-09-23 21:30:48,false,"Running","0.60","76","00:05:29.1","137","149","2.0","157","171","9:07","8:43","26","46","1.12","0.0","0.0","0.0","0.0","0.0","5:29.1","0:00","84.2","0:00","No","00:00.00","1","0.0"
Running,2019-09-21 17:41:19,false,"Santiago Running","4.01","546","00:35:48","150","173","4.1","163","181","8:56","7:45","79","118","1.11","0.0","0.0","0.0","0.0","0.0","35:48","0:00","86.0","0:00","No","00:05.25","5","0.0"
Treadmill Running,2019-09-21 09:05:38,false,"Treadmill Running","1.04","126","00:09:41.2","132","143","2.1","159","163","9:17","8:49","--","--","1.09","0.0","0.0","0.0","0.0","0.0","9:41.2","0:00","75.2","0:00","No","00:23.56","2","0.0"
Elliptical,2019-09-19 08:22:02,false,"Elliptical","0.00","28","00:07:27.8","78","103","0.1","96","133","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","7:27.8","0:00","78.8","0:00","No","00:00.00","1","0.0"
Treadmill Running,2019-09-19 07:31:44,false,"Treadmill Running","0.89","112","00:07:27.5","145","157","2.3","169","179","8:25","6:27","--","--","1.13","0.0","0.0","0.0","0.0","0.0","7:27.5","0:00","80.6","0:00","No","00:00.00","1","0.0"
Elliptical,2019-09-17 07:10:00,false,"Elliptical","0.00","184","00:18:45","116","136","1.7","74","148","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","18:45","0:00","80.6","0:00","No","00:00.00","1","0.0"
Running,2019-09-14 18:29:52,false,"Santiago Running","0.00","--","00:00:00.8","124","124","--","--","--","7:55","19:42","--","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00.8","0:00","91.4","0:00","No","00:00.00","1","0.0"
Running,2019-09-14 17:43:13,false,"Santiago Running","4.51","659","00:41:32","154","178","4.6","160","182","9:12","7:46","105","121","1.09","0.0","0.0","0.0","0.0","0.0","41:32","0:00","91.4","0:00","No","04:55.88","5","0.0"
Treadmill Running,2019-09-12 09:36:08,false,"Treadmill Running","0.69","85","00:06:34.2","129","141","1.6","141","175","9:32","6:45","--","--","1.19","0.0","0.0","0.0","0.0","0.0","6:34.2","0:00","80.6","0:00","No","00:00.00","1","0.0"
Treadmill Running,2019-09-11 07:22:45,false,"Treadmill Running","0.88","105","00:06:40.8","152","161","2.3","163","175","7:37","6:38","--","--","1.30","0.0","0.0","0.0","0.0","0.0","6:40.8","0:00","80.6","0:00","No","00:00.00","1","0.0"
Running,2019-09-09 18:58:21,false,"Santiago Running","0.57","62","00:04:34.8","134","157","1.5","155","177","8:03","6:56","39","49","1.29","0.0","0.0","0.0","0.0","0.0","4:34.8","0:00","84.2","0:00","No","00:00.00","1","0.0"
Running,2019-09-08 06:36:18,false,"Running","0.57","74","00:05:22.7","134","147","1.8","146","175","9:31","8:49","36","39","1.16","0.0","0.0","0.0","0.0","0.0","5:22.7","0:00","84.2","0:00","No","00:00.00","1","0.0"
Running,2019-09-03 16:09:25,false,"Kansas City Running","0.26","33","00:02:41.3","126","144","0.7","131","184","10:14","7:05","7","--","1.20","0.0","0.0","0.0","0.0","0.0","2:41.3","0:00","91.4","0:00","No","00:00.00","1","0.0"
Running,2019-09-03 09:26:31,false,"Kansas City Running","2.01","275","00:17:52","147","158","3.2","167","175","8:54","7:42","108","--","1.08","0.0","0.0","0.0","0.0","0.0","17:52","0:00","84.2","0:00","No","00:04.02","3","0.0"
Cycling,2019-08-29 15:41:34,false,"Washington Cycling","1.02","64","00:11:45","90","121","0.3","--","--","5.2","16.6","66","85","0.00","0.0","0.0","0.0","0.0","0.0","11:45","0:00","84.2","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-27 22:13:01,false,"Washington Cycling","4.36","191","00:43:16","84","111","0.4","--","--","6.0","15.7","92","118","0.00","0.0","0.0","0.0","0.0","0.0","43:16","0:00","78.8","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-27 10:40:24,false,"Washington Cycling","4.11","171","00:33:47","89","113","0.4","--","--","7.3","14.4","141","66","0.00","0.0","0.0","0.0","0.0","0.0","33:47","0:00","78.8","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-26 21:29:41,false,"Washington Cycling","2.43","128","00:26:37","86","116","0.3","--","--","5.5","19.3","79","115","0.00","0.0","0.0","0.0","0.0","0.0","26:37","0:00","78.8","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-26 20:46:26,false,"Washington Cycling","0.84","56","00:06:53.4","104","125","0.4","--","--","7.3","11.4","49","7","0.00","0.0","0.0","0.0","0.0","0.0","6:53.4","0:00","77.0","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-26 18:30:53,false,"Washington Cycling","0.78","26","00:04:53.8","87","95","0.1","--","--","9.5","24.4","26","43","0.00","0.0","0.0","0.0","0.0","0.0","4:53.8","0:00","78.8","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-26 17:24:07,false,"Washington Cycling","0.95","47","00:07:09.0","96","107","0.2","--","--","8.0","17.9","49","26","0.00","0.0","0.0","0.0","0.0","0.0","7:09.0","0:00","80.6","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-26 11:31:48,false,"Washington Cycling","0.44","27","00:04:28.0","91","112","0.1","--","--","5.9","19.1","16","13","0.00","0.0","0.0","0.0","0.0","0.0","4:28.0","0:00","80.6","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-26 09:42:55,false,"Washington Cycling","2.72","122","00:23:55","88","116","0.3","--","--","6.8","21.8","102","105","0.00","0.0","0.0","0.0","0.0","0.0","23:55","0:00","77.0","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-26 09:21:18,false,"Washington Cycling","0.71","21","00:04:44.2","82","94","0.1","--","--","9.0","16.1","26","36","0.00","0.0","0.0","0.0","0.0","0.0","4:44.2","0:00","77.0","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-26 08:05:17,false,"Washington Cycling","0.41","20","00:03:32.3","90","99","0.1","--","--","6.9","13.3","36","7","0.00","0.0","0.0","0.0","0.0","0.0","3:32.3","0:00","75.2","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-25 22:58:16,false,"Washington Cycling","2.25","82","00:17:45","84","105","0.2","--","--","7.6","15.6","72","43","0.00","0.0","0.0","0.0","0.0","0.0","17:45","0:00","75.2","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-25 14:59:55,false,"Washington Cycling","1.87","69","00:11:41","92","109","0.2","--","--","9.6","20.0","56","72","0.00","0.0","0.0","0.0","0.0","0.0","11:41","0:00","78.8","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-25 11:40:26,false,"Washington Cycling","0.72","26","00:06:59.4","76","100","0.1","--","--","6.2","11.5","33","--","0.00","0.0","0.0","0.0","0.0","0.0","6:59.4","0:00","84.2","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-25 10:44:41,false,"Washington Cycling","2.43","110","00:20:06","90","113","0.3","--","--","7.2","18.2","20","115","0.00","0.0","0.0","0.0","0.0","0.0","20:06","0:00","80.6","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-25 09:10:04,false,"Washington Cycling","3.00","176","00:31:15","92","132","0.6","--","--","5.8","15.8","180","79","0.00","0.0","0.0","0.0","0.0","0.0","31:15","0:00","77.0","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-24 13:09:00,false,"Washington Cycling","2.89","181","00:30:59","93","120","0.5","--","--","5.6","16.9","46","171","0.00","0.0","0.0","0.0","0.0","0.0","30:59","0:00","87.8","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-24 03:39:37,false,"Washington Cycling","0.95","76","00:06:43.6","121","141","1.1","--","--","8.5","21.8","23","49","0.00","0.0","0.0","0.0","0.0","0.0","6:43.6","0:00","73.4","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-23 15:03:08,false,"Washington Cycling","0.76","85","00:07:37.2","120","128","1.1","--","--","6.0","13.5","49","16","0.00","0.0","0.0","0.0","0.0","0.0","7:37.2","0:00","77.0","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-23 02:42:36,false,"Washington Cycling","1.07","143","07:14:54","87","125","0.4","--","--","0.1","20.0","36","49","0.00","0.0","0.0","0.0","0.0","0.0","7:14:54","0:00","69.8","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-22 15:04:21,false,"Washington Cycling","0.16","50","00:07:19.6","98","111","0.2","--","--","1.3","11.4","46","--","0.00","0.0","0.0","0.0","0.0","0.0","7:19.6","0:00","82.4","0:00","No","00:00.00","1","0.0"
Running,2019-08-21 16:21:27,false,"Washington Running","2.01","276","00:17:54","150","170","3.2","165","183","8:55","6:57","161","75","1.09","0.0","0.0","0.0","0.0","0.0","17:54","0:00","86.0","0:00","No","00:03.09","3","0.0"
Cycling,2019-08-20 23:01:32,false,"Washington Cycling","2.12","111","00:20:03","90","118","0.4","--","--","6.3","13.5","79","49","0.00","0.0","0.0","0.0","0.0","0.0","20:03","0:00","80.6","0:00","No","00:00.00","1","0.0"
Cycling,2019-08-20 16:07:23,false,"Washington Cycling","2.03","107","00:11:13","112","146","1.1","--","--","10.9","16.4","49","79","0.00","0.0","0.0","0.0","0.0","0.0","11:13","0:00","82.4","0:00","No","00:00.00","1","0.0"
