Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Treadmill Running,2020-09-01 15:01:45,false,"Treadmill Running","2.94","312","00:23:41","136","157","2.5","166","183","8:04","6:45","--","--","1.20","0.0","0.0","0.0","0.0","0.0","23:41","0:00","69.8","0:00","No","07:37.61","3","0.0"
Running,2020-08-31 13:34:33,false,"Royal National Park Running","1.02","147","00:09:24.0","159","168","2.3","129","184","9:13","7:07","253","30","1.36","0.0","0.0","0.0","0.0","0.0","9:24.0","0:00","62.6","0:00","No","00:05.61","3","0.0"
Running,2020-08-31 13:08:36,false,"Running","2.28","280","00:19:45","144","167","2.7","150","200","8:39","6:21","69","486","1.24","0.0","0.0","0.0","0.0","0.0","19:45","0:00","64.4","0:00","No","02:29.49","3","0.0"
Treadmill Running,2020-08-30 17:08:35,false,"Treadmill Running","3.11","370","00:24:28","151","166","3.1","167","171","7:52","7:19","--","--","1.23","0.0","0.0","0.0","0.0","0.0","24:28","0:00","73.4","0:00","No","00:54.45","4","0.0"
Treadmill Running,2020-08-29 13:22:23,false,"Treadmill Running","3.03","357","00:24:19","148","163","3.0","165","173","8:01","7:14","--","--","1.21","0.0","0.0","0.0","0.0","0.0","24:19","0:00","73.4","0:00","No","00:42.92","4","0.0"
Running,2020-08-28 15:20:00,false,"Sydney Running","5.01","648","00:41:38","159","180","3.8","166","182","8:19","7:02","427","449","1.17","0.0","0.0","0.0","0.0","0.0","41:38","0:00","62.6","0:00","No","00:02.89","6","0.0"
Treadmill Running,2020-08-27 18:12:53,false,"Treadmill Running","3.06","365","00:23:40","155","181","3.2","162","169","7:45","7:08","--","--","1.28","0.0","0.0","0.0","0.0","0.0","23:40","0:00","71.6","0:00","No","00:40.90","4","0.0"
Running,2020-08-26 16:34:58,false,"Sydney Running","3.05","405","00:26:22","158","176","3.3","162","172","8:39","7:13","246","266","1.15","0.0","0.0","0.0","0.0","0.0","26:22","0:00","60.8","0:00","No","00:24.21","4","0.0"
Running,2020-08-25 19:43:41,false,"Sydney Running","4.01","535","00:36:41","151","169","3.3","160","172","9:09","7:45","344","367","1.10","0.0","0.0","0.0","0.0","0.0","36:41","0:00","55.4","0:00","No","00:06.30","5","0.0"
Treadmill Running,2020-08-24 20:27:16,false,"Treadmill Running","1.03","126","00:08:36.2","147","158","2.1","160","168","8:22","7:25","--","--","1.20","0.0","0.0","0.0","0.0","0.0","8:36.2","0:00","73.4","0:00","No","00:12.80","2","0.0"
Running,2020-08-23 14:54:34,false,"Royal National Park Running","0.83","112","00:07:22.4","152","162","2.1","161","178","8:53","2:58","226","10","1.13","0.0","0.0","0.0","0.0","0.0","7:22.4","0:00","62.6","0:00","No","07:22.43","1","0.0"
Running,2020-08-23 14:21:06,false,"Royal National Park Running","2.08","307","00:22:24","143","166","2.7","148","243","10:48","8:04","105","502","1.00","0.0","0.0","0.0","0.0","0.0","22:24","0:00","64.4","0:00","No","01:13.64","3","0.0"
Running,2020-08-22 17:44:07,false,"Sydney Running","4.29","609","00:39:01","158","186","3.9","163","176","9:06","7:44","364","390","1.09","0.0","0.0","0.0","0.0","0.0","39:01","0:00","55.4","0:00","No","02:26.68","5","0.0"
Treadmill Running,2020-08-21 18:30:11,false,"Treadmill Running","3.10","389","00:26:10","149","164","3.1","161","172","8:26","7:00","--","--","1.19","0.0","0.0","0.0","0.0","0.0","26:10","0:00","69.8","0:00","No","00:50.88","4","0.0"
Running,2020-08-20 16:58:06,false,"Sydney Running","5.01","649","00:42:26","156","171","3.7","164","180","8:28","6:43","449","466","1.15","0.0","0.0","0.0","0.0","0.0","42:26","0:00","59.0","0:00","No","00:04.39","6","0.0"
Treadmill Running,2020-08-19 15:44:38,false,"Treadmill Running","3.13","369","00:24:56","148","166","3.1","162","166","7:58","7:39","--","--","1.25","0.0","0.0","0.0","0.0","0.0","24:56","0:00","69.8","0:00","No","01:01.99","4","0.0"
Running,2020-08-18 15:46:04,false,"Sydney Running","4.01","518","00:33:29","156","166","3.5","165","225","8:21","6:51","331","361","1.17","0.0","0.0","0.0","0.0","0.0","33:29","0:00","64.4","0:00","No","00:04.56","5","0.0"
Treadmill Running,2020-08-17 16:34:59,false,"Treadmill Running","3.07","415","00:26:46","154","166","3.4","159","171","8:43","7:44","--","--","1.16","0.0","0.0","0.0","0.0","0.0","26:46","0:00","73.4","0:00","No","01:04.29","4","0.0"
Running,2020-08-15 16:34:59,false,"Sydney Running","4.09","563","00:36:34","157","180","3.7","160","192","8:57","6:45","449","528","1.12","0.0","0.0","0.0","0.0","0.0","36:34","0:00","62.6","0:00","No","00:40.79","5","0.0"
Running,2020-08-13 15:39:59,false,"Sydney Running","4.02","561","00:37:34","155","171","3.5","161","214","9:20","6:55","331","348","1.07","0.0","0.0","0.0","0.0","0.0","37:34","0:00","66.2","0:00","No","00:10.80","5","0.0"
Running,2020-08-12 19:08:37,false,"Sydney Running","3.01","421","00:26:43","157","176","3.5","160","174","8:53","8:00","141","226","1.13","0.0","0.0","0.0","0.0","0.0","26:43","0:00","59.0","0:00","No","00:04.18","4","0.0"
Running,2020-08-11 15:36:08,false,"Sydney Running","5.01","645","00:43:18","152","171","3.6","163","178","8:39","7:03","440","453","1.14","0.0","0.0","0.0","0.0","0.0","43:18","0:00","60.8","0:00","No","00:03.46","6","0.0"
Running,2020-08-10 13:40:41,false,"Sydney Running","4.01","506","00:35:16","148","164","3.3","163","176","8:48","7:25","328","361","1.12","0.0","0.0","0.0","0.0","0.0","35:16","0:00","62.6","0:00","No","00:03.39","5","0.0"
Running,2020-08-08 15:34:34,false,"Sydney Running","4.01","535","00:38:50","144","166","3.2","160","170","9:41","8:00","335","397","1.04","0.0","0.0","0.0","0.0","0.0","38:50","0:00","60.8","0:00","No","00:04.70","5","0.0"
Elliptical,2020-08-06 11:20:50,false,"Elliptical","0.00","170","00:20:57","108","144","0.8","66","152","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","20:57","0:00","73.4","0:00","No","20:56.100","1","0.0"
Treadmill Running,2020-08-05 12:17:26,false,"Treadmill Running","0.62","67","00:05:04.7","133","146","1.1","160","166","8:13","7:40","--","--","1.23","0.0","0.0","0.0","0.0","0.0","5:04.7","0:00","77.0","0:00","No","05:04.74","1","0.0"
Running,2020-08-04 17:49:24,false,"Sydney Running","4.01","629","00:38:49","164","186","4.4","159","169","9:41","7:51","338","371","1.05","0.0","0.0","0.0","0.0","0.0","38:49","0:00","60.8","0:00","No","00:03.59","5","0.0"
Running,2020-08-03 16:51:27,false,"Sydney Running","5.01","748","00:47:31","160","181","4.4","158","167","9:29","7:37","417","476","1.07","0.0","0.0","0.0","0.0","0.0","47:31","0:00","60.8","0:00","No","00:03.95","6","0.0"
Running,2020-08-01 16:26:37,false,"Sydney Running","5.15","645","00:42:22","154","174","4.0","163","182","8:14","5:45","430","446","1.19","0.0","0.0","0.0","0.0","0.0","42:22","0:00","59.0","0:00","No","01:17.25","6","0.0"
Running,2020-07-31 16:47:49,false,"Sydney Running","4.23","578","00:36:28","158","183","4.4","162","174","8:38","6:28","354","371","1.15","0.0","0.0","0.0","0.0","0.0","36:28","0:00","57.2","0:00","No","01:40.79","5","0.0"
Treadmill Running,2020-07-30 16:18:30,false,"Treadmill Running","1.04","109","00:07:22.4","145","158","2.3","167","171","7:06","6:29","--","--","1.36","0.0","0.0","0.0","0.0","0.0","7:22.4","0:00","73.4","0:00","No","00:15.43","2","0.0"
